subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 13,1,79.73090278,59.33159722,79.51388888,78.86284722,79.94791666,60.19965278,22,7,5,10,26,No,21,19,17,15,13,12,11,13,13,13,12,12,13,13,14,14,14,13,13,13,14,14,14,13,13,13,12,12,12,13,14,15,15,15,16,16,17,17,17,16
11 13,2,79.73090278,59.33159722,79.51388888,78.86284722,79.94791666,60.19965278,22,7,5,10,26,No,21,19,17,15,17,17,17,16,16,16,15,16,16,16,15,15,16,16,16,15,15,15,14,14,14,13,13,13,12,13,13,14,14,14,15,15,15,14,14,15
11 13,3,79.73090278,59.33159722,79.51388888,78.86284722,79.94791666,60.19965278,22,7,5,10,26,No,21,19,17,15,13,15,15,15,14,14,14,13,13,13,12,13,14,14,15,15,15,14,14,14,13,13,13,12,13,14,14,14,13,13,13,12,12,12,13,13
11 14,1,NaN,NaN,NaN,NaN,NaN,NaN,27,8,8,11,31,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,13,13,12,12,13,13,13,14,14,14,13,13,13,12,12,12,11,12,13,13,13,12,12,12,11,11,12,12,12,13,13,13
11 14,2,NaN,NaN,NaN,NaN,NaN,NaN,27,8,8,11,31,Not applicable (never played any instruments),21,19,17,15,13,12,14,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,11,12,12,12,13,13,13,12,12,13,13,13,12,13,13,13,12,12
11 14,3,NaN,NaN,NaN,NaN,NaN,NaN,27,8,8,11,31,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,9,8,10,10,11,11,11,10,11,11,11,10,10,11,12,12,12,11,11,11,10,11,11,11,12,12,13,13,13,12,12,12
11 15,1,20.37037038,20.2160588,60.0308642,100,79.78395062,39.81481482,22,0,4,18,33,Not applicable (never played any instruments),21,19,17,15,13,12,11,10,12,14,14,14,15,15,15,14,15,16,16,17,17,17,16,16,16,15,16,16,16,17,17,17,16,16,16,15,15,15,16,16
11 15,2,20.37037038,20.2160588,60.0308642,100,79.78395062,39.81481482,22,0,4,18,33,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,13,13,12,12,12,11,12,13,14,14,14,13,13,13,12,12,12,11,12,12,12,11,12,12,13,13,13,14,14,14,13,13
11 15,3,20.37037038,20.2160588,60.0308642,100,79.78395062,39.81481482,22,0,4,18,33,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,15,15,15,16,16,16,15,15,15,14,14,15,15,15,14,14,14,13,13,14,14,15,15,15,14,14,14,13,14,14,14,15
11 16,1,NaN,NaN,NaN,NaN,NaN,NaN,14,4,2,8,20,No,21,19,17,15,13,12,11,10,9,8,7,9,9,9,8,8,8,7,7,7,6,6,7,7,7,6,7,8,8,8,7,7,8,8,8,7,7,7,6,6
11 16,2,NaN,NaN,NaN,NaN,NaN,NaN,14,4,2,8,20,No,21,19,17,15,13,12,11,10,9,8,7,6,5,7,7,7,6,6,7,7,8,8,8,7,7,7,8,8,8,7,7,7,6,7,7,7,8,9,9,9
11 16,3,NaN,NaN,NaN,NaN,NaN,NaN,14,4,2,8,20,No,21,19,17,15,13,12,11,10,9,8,7,6,5,4,3,2,4,6,6,7,8,8,8,7,8,8,8,7,7,8,8,8,7,7,7,6,6,6,5,6
11 17,1,28.24074074,22.4537037,67.5925926,89.4675926,76.04166666,56.71296296,NaN,NaN,NaN,NaN,35,No,21,19,17,15,13,12,14,14,14,13,13,13,14,14,14,15,15,15,14,14,15,16,16,17,17,17,16,16,16,15,15,15,16,16,16,15,16,17,17,17
11 17,2,28.24074074,22.4537037,67.5925926,89.4675926,76.04166666,56.71296296,NaN,NaN,NaN,NaN,35,No,21,19,17,19,19,19,18,18,18,17,18,18,19,19,19,18,18,18,17,17,17,16,16,17,17,17,16,16,16,15,15,15,14,14,15,15,15,14,14,14
11 17,3,28.24074074,22.4537037,67.5925926,89.4675926,76.04166666,56.71296296,NaN,NaN,NaN,NaN,35,No,21,19,17,15,13,15,15,15,14,14,14,13,13,14,14,14,13,13,14,14,14,13,14,14,14,13,14,14,14,15,15,15,14,15,15,15,14,15,15,15
11 18,1,61.06770834,61.28472222,60.85069444,78.64583334,38.49826388,79.73090278,34,11,8,15,25,No,21,19,17,15,13,12,11,10,9,11,11,11,10,10,11,11,11,12,13,13,13,12,13,13,13,12,12,12,11,12,13,13,13,12,12,13,13,13,14,14
